hedge_ratio,expected_margin,VaR_95,CVaR_95
0.0,918428.5158062191,632091.9242226605,792441.5160300661
0.05,930048.799357154,600487.3280115273,752819.4402285625
0.1,941669.0829080894,568882.7318003942,713197.3644270592
0.15000000000000002,953289.3664590248,537278.1355892615,673575.2886255562
0.2,964909.6500099602,505673.53937812854,633953.2128240529
0.25,976529.9335608952,474068.9431669953,594331.1370225494
0.30000000000000004,988150.2171118305,442464.34695586236,554709.0612210461
0.35000000000000003,999770.5006627659,410859.75074472965,515086.9854195431
0.4,1011390.7842137009,379255.15453359624,475464.9096180395
0.45,1023011.0677646362,347650.5583224633,435842.83381653635
0.5,1034631.3513155716,316045.96211133036,396220.7580150331
0.55,1046251.6348665069,284441.3659001973,356598.6822135298
0.6000000000000001,1057871.918417442,252836.76968906412,316976.6064120262
0.65,1069492.2019683772,221232.17347793118,277354.53061052307
0.7000000000000001,1081112.4855193123,189627.577266798,237732.4548090197
0.75,1092732.7690702477,158022.98105566506,198110.37900751655
0.8,1104353.052621183,126418.38484453212,158488.30320601328
0.8500000000000001,1115973.336172118,94813.78863339906,118866.22740450979
0.9,1127593.6197230536,63209.19242226635,79244.15160300687
0.9500000000000001,1139213.9032739885,31604.596211132826,39622.075801503146
1.0,1150834.1868249236,-2.3283064365386963e-10,0.0
